SNP	PVAL	Disease	COMP	CisGene	TissScores	CompGenes_CompScores	FDR
6:32664458	2e-21	Follicular lymphoma	288	HLA-DRB5_HLA-DRA	0.0394349_0.038926	AOAH_0.797659\BEND4_0.69934\C12orf57_0.458339\CACNA2D4_0.605234\CD180_0.424553\CPVL_-0.430277\DCAF16_0.474369\DEF8_0.73086\DNAJA4_0.507837\ERG_0.767832\EXOSC6_-0.5177\FCHO2_-0.761012\HLA-DRA_0.587015\JAZF1_-0.429442\KRTAP10-11_-0.396988\LIMS1_-0.462467\MRPL2_-0.442905\MRPL54_-0.476748\MUM1_0.431868\NME1_-0.463411\PDCD5_0.458637\PLAGL1_0.419845\PLXNC1_-0.402799\RAB27A_-0.418176\RGPD2_0.459595\RNPEP_-0.404459\RPS26_0.684201\RRAS2_-0.562103\SLC4A7_-0.577997\SLITRK4_0.50185\SNORD36C_-0.42505\SRR_0.455327\TMED3_0.454473\WDR41_-0.669109\ZNF671_-0.518151\ZNF776_-0.410272	0.00494592417299158
6:32664458	3e-07	Lupus nephritis in systemic lupus erythematosus	288	HLA-DRB5_HLA-DRA	0.0394349_0.038926	AOAH_0.797659\BEND4_0.69934\C12orf57_0.458339\CACNA2D4_0.605234\CD180_0.424553\CPVL_-0.430277\DCAF16_0.474369\DEF8_0.73086\DNAJA4_0.507837\ERG_0.767832\EXOSC6_-0.5177\FCHO2_-0.761012\HLA-DRA_0.587015\JAZF1_-0.429442\KRTAP10-11_-0.396988\LIMS1_-0.462467\MRPL2_-0.442905\MRPL54_-0.476748\MUM1_0.431868\NME1_-0.463411\PDCD5_0.458637\PLAGL1_0.419845\PLXNC1_-0.402799\RAB27A_-0.418176\RGPD2_0.459595\RNPEP_-0.404459\RPS26_0.684201\RRAS2_-0.562103\SLC4A7_-0.577997\SLITRK4_0.50185\SNORD36C_-0.42505\SRR_0.455327\TMED3_0.454473\WDR41_-0.669109\ZNF671_-0.518151\ZNF776_-0.410272	0.00494592417299158
6:32590953	9e-37	Sjögren's syndrome	288	HLA-DRB5_HLA-DRB5	0.0394349_0.038926	AOAH_0.797659\BEND4_0.69934\C12orf57_0.458339\CACNA2D4_0.605234\CD180_0.424553\CPVL_-0.430277\DCAF16_0.474369\DEF8_0.73086\DNAJA4_0.507837\ERG_0.767832\EXOSC6_-0.5177\FCHO2_-0.761012\HLA-DRA_0.587015\JAZF1_-0.429442\KRTAP10-11_-0.396988\LIMS1_-0.462467\MRPL2_-0.442905\MRPL54_-0.476748\MUM1_0.431868\NME1_-0.463411\PDCD5_0.458637\PLAGL1_0.419845\PLXNC1_-0.402799\RAB27A_-0.418176\RGPD2_0.459595\RNPEP_-0.404459\RPS26_0.684201\RRAS2_-0.562103\SLC4A7_-0.577997\SLITRK4_0.50185\SNORD36C_-0.42505\SRR_0.455327\TMED3_0.454473\WDR41_-0.669109\ZNF671_-0.518151\ZNF776_-0.410272	0.0050147549368867
6:32681631	2e-26	Nephropathy	288	HLA-DRB5_HLA-DRB5	0.0394349_0.038926	AOAH_0.797659\BEND4_0.69934\C12orf57_0.458339\CACNA2D4_0.605234\CD180_0.424553\CPVL_-0.430277\DCAF16_0.474369\DEF8_0.73086\DNAJA4_0.507837\ERG_0.767832\EXOSC6_-0.5177\FCHO2_-0.761012\HLA-DRA_0.587015\JAZF1_-0.429442\KRTAP10-11_-0.396988\LIMS1_-0.462467\MRPL2_-0.442905\MRPL54_-0.476748\MUM1_0.431868\NME1_-0.463411\PDCD5_0.458637\PLAGL1_0.419845\PLXNC1_-0.402799\RAB27A_-0.418176\RGPD2_0.459595\RNPEP_-0.404459\RPS26_0.684201\RRAS2_-0.562103\SLC4A7_-0.577997\SLITRK4_0.50185\SNORD36C_-0.42505\SRR_0.455327\TMED3_0.454473\WDR41_-0.669109\ZNF671_-0.518151\ZNF776_-0.410272	0.0051822569428453
6:32681631	3e-31	IgA nephropathy	288	HLA-DRB5_HLA-DRB5	0.0394349_0.038926	AOAH_0.797659\BEND4_0.69934\C12orf57_0.458339\CACNA2D4_0.605234\CD180_0.424553\CPVL_-0.430277\DCAF16_0.474369\DEF8_0.73086\DNAJA4_0.507837\ERG_0.767832\EXOSC6_-0.5177\FCHO2_-0.761012\HLA-DRA_0.587015\JAZF1_-0.429442\KRTAP10-11_-0.396988\LIMS1_-0.462467\MRPL2_-0.442905\MRPL54_-0.476748\MUM1_0.431868\NME1_-0.463411\PDCD5_0.458637\PLAGL1_0.419845\PLXNC1_-0.402799\RAB27A_-0.418176\RGPD2_0.459595\RNPEP_-0.404459\RPS26_0.684201\RRAS2_-0.562103\SLC4A7_-0.577997\SLITRK4_0.50185\SNORD36C_-0.42505\SRR_0.455327\TMED3_0.454473\WDR41_-0.669109\ZNF671_-0.518151\ZNF776_-0.410272	0.0051822569428453
6:32681631	2e-15	IgA nephropathy	288	HLA-DRB5_HLA-DRB5	0.0394349_0.038926	AOAH_0.797659\BEND4_0.69934\C12orf57_0.458339\CACNA2D4_0.605234\CD180_0.424553\CPVL_-0.430277\DCAF16_0.474369\DEF8_0.73086\DNAJA4_0.507837\ERG_0.767832\EXOSC6_-0.5177\FCHO2_-0.761012\HLA-DRA_0.587015\JAZF1_-0.429442\KRTAP10-11_-0.396988\LIMS1_-0.462467\MRPL2_-0.442905\MRPL54_-0.476748\MUM1_0.431868\NME1_-0.463411\PDCD5_0.458637\PLAGL1_0.419845\PLXNC1_-0.402799\RAB27A_-0.418176\RGPD2_0.459595\RNPEP_-0.404459\RPS26_0.684201\RRAS2_-0.562103\SLC4A7_-0.577997\SLITRK4_0.50185\SNORD36C_-0.42505\SRR_0.455327\TMED3_0.454473\WDR41_-0.669109\ZNF671_-0.518151\ZNF776_-0.410272	0.0051822569428453
6:32681631	1e-19	IgA nephropathy	288	HLA-DRB5_HLA-DRB5	0.0394349_0.038926	AOAH_0.797659\BEND4_0.69934\C12orf57_0.458339\CACNA2D4_0.605234\CD180_0.424553\CPVL_-0.430277\DCAF16_0.474369\DEF8_0.73086\DNAJA4_0.507837\ERG_0.767832\EXOSC6_-0.5177\FCHO2_-0.761012\HLA-DRA_0.587015\JAZF1_-0.429442\KRTAP10-11_-0.396988\LIMS1_-0.462467\MRPL2_-0.442905\MRPL54_-0.476748\MUM1_0.431868\NME1_-0.463411\PDCD5_0.458637\PLAGL1_0.419845\PLXNC1_-0.402799\RAB27A_-0.418176\RGPD2_0.459595\RNPEP_-0.404459\RPS26_0.684201\RRAS2_-0.562103\SLC4A7_-0.577997\SLITRK4_0.50185\SNORD36C_-0.42505\SRR_0.455327\TMED3_0.454473\WDR41_-0.669109\ZNF671_-0.518151\ZNF776_-0.410272	0.0051822569428453
6:32681631	6e-11	Peanut allergy	288	HLA-DRB5_HLA-DRB5	0.0394349_0.038926	AOAH_0.797659\BEND4_0.69934\C12orf57_0.458339\CACNA2D4_0.605234\CD180_0.424553\CPVL_-0.430277\DCAF16_0.474369\DEF8_0.73086\DNAJA4_0.507837\ERG_0.767832\EXOSC6_-0.5177\FCHO2_-0.761012\HLA-DRA_0.587015\JAZF1_-0.429442\KRTAP10-11_-0.396988\LIMS1_-0.462467\MRPL2_-0.442905\MRPL54_-0.476748\MUM1_0.431868\NME1_-0.463411\PDCD5_0.458637\PLAGL1_0.419845\PLXNC1_-0.402799\RAB27A_-0.418176\RGPD2_0.459595\RNPEP_-0.404459\RPS26_0.684201\RRAS2_-0.562103\SLC4A7_-0.577997\SLITRK4_0.50185\SNORD36C_-0.42505\SRR_0.455327\TMED3_0.454473\WDR41_-0.669109\ZNF671_-0.518151\ZNF776_-0.410272	0.0051822569428453
6:32025863	2e-10	Autism spectrum disorder or schizophrenia	58	HLA-DQB1_HLA-DPB1	-0.0552748_-0.046243	ABHD11_-0.375474\ANKRD13A_0.295802\ARPC4_0.299507\ATP9B_-0.325225\ATXN2L_0.277654\C1GALT1C1_0.33817\C21orf2_0.398581\C22orf34_0.316647\CH25H_0.271427\CMC1_-0.333416\COQ10A_0.38523\CPPED1_-0.344567\CSTA_0.345742\DNAJC15_-0.372056\ECH1_-0.330659\ERH_0.319455\FMNL2_-0.378459\GATC_-0.387501\GFPT1_0.328457\HLA-DMA_-0.299845\KLK7_-0.303396\LDHD_-0.288653\LRP3_-0.38734\MAP7_-0.344288\MKNK2_0.287169\MRPS12_0.273651\PANX2_-0.31007\PARP2_0.286457\PLEKHG3_-0.400539\POLR2J3_-0.299317\PSMB9_0.346892\PSMD5_0.291406\PTPN12_-0.369354\RNASEH1_0.305152\SAMD8_0.274644\STX8_-0.329402\TFIP11_0.295642\TUBB_-0.41771\UPF3A_-0.301468\VARS2_-0.53245\ZNF30_0.304607\ZSCAN29_0.342106	0.00520251318621598
6:30985828	6e-06	Parental longevity (mother's age at death)	58	HLA-C_VARS2	-0.0552748_-0.046243	ABHD11_-0.375474\ANKRD13A_0.295802\ARPC4_0.299507\ATP9B_-0.325225\ATXN2L_0.277654\C1GALT1C1_0.33817\C21orf2_0.398581\C22orf34_0.316647\CH25H_0.271427\CMC1_-0.333416\COQ10A_0.38523\CPPED1_-0.344567\CSTA_0.345742\DNAJC15_-0.372056\ECH1_-0.330659\ERH_0.319455\FMNL2_-0.378459\GATC_-0.387501\GFPT1_0.328457\HLA-DMA_-0.299845\KLK7_-0.303396\LDHD_-0.288653\LRP3_-0.38734\MAP7_-0.344288\MKNK2_0.287169\MRPS12_0.273651\PANX2_-0.31007\PARP2_0.286457\PLEKHG3_-0.400539\POLR2J3_-0.299317\PSMB9_0.346892\PSMD5_0.291406\PTPN12_-0.369354\RNASEH1_0.305152\SAMD8_0.274644\STX8_-0.329402\TFIP11_0.295642\TUBB_-0.41771\UPF3A_-0.301468\VARS2_-0.53245\ZNF30_0.304607\ZSCAN29_0.342106	0.00531347118518904
6:32050758	6e-29	Systemic lupus erythematosus	58	HLA-DQB1_HLA-DPB1	-0.0552748_-0.046243	ABHD11_-0.375474\ANKRD13A_0.295802\ARPC4_0.299507\ATP9B_-0.325225\ATXN2L_0.277654\C1GALT1C1_0.33817\C21orf2_0.398581\C22orf34_0.316647\CH25H_0.271427\CMC1_-0.333416\COQ10A_0.38523\CPPED1_-0.344567\CSTA_0.345742\DNAJC15_-0.372056\ECH1_-0.330659\ERH_0.319455\FMNL2_-0.378459\GATC_-0.387501\GFPT1_0.328457\HLA-DMA_-0.299845\KLK7_-0.303396\LDHD_-0.288653\LRP3_-0.38734\MAP7_-0.344288\MKNK2_0.287169\MRPS12_0.273651\PANX2_-0.31007\PARP2_0.286457\PLEKHG3_-0.400539\POLR2J3_-0.299317\PSMB9_0.346892\PSMD5_0.291406\PTPN12_-0.369354\RNASEH1_0.305152\SAMD8_0.274644\STX8_-0.329402\TFIP11_0.295642\TUBB_-0.41771\UPF3A_-0.301468\VARS2_-0.53245\ZNF30_0.304607\ZSCAN29_0.342106	0.00554525658565409
6:30782002	9e-07	Bipolar disorder and schizophrenia	58	HLA-G_VARS2	-0.0552748_-0.046243	ABHD11_-0.375474\ANKRD13A_0.295802\ARPC4_0.299507\ATP9B_-0.325225\ATXN2L_0.277654\C1GALT1C1_0.33817\C21orf2_0.398581\C22orf34_0.316647\CH25H_0.271427\CMC1_-0.333416\COQ10A_0.38523\CPPED1_-0.344567\CSTA_0.345742\DNAJC15_-0.372056\ECH1_-0.330659\ERH_0.319455\FMNL2_-0.378459\GATC_-0.387501\GFPT1_0.328457\HLA-DMA_-0.299845\KLK7_-0.303396\LDHD_-0.288653\LRP3_-0.38734\MAP7_-0.344288\MKNK2_0.287169\MRPS12_0.273651\PANX2_-0.31007\PARP2_0.286457\PLEKHG3_-0.400539\POLR2J3_-0.299317\PSMB9_0.346892\PSMD5_0.291406\PTPN12_-0.369354\RNASEH1_0.305152\SAMD8_0.274644\STX8_-0.329402\TFIP11_0.295642\TUBB_-0.41771\UPF3A_-0.301468\VARS2_-0.53245\ZNF30_0.304607\ZSCAN29_0.342106	0.00628969462557371
6:30782002	3e-14	Type 1 diabetes and autoimmune thyroid diseases	58	HLA-G_VARS2	-0.0552748_-0.046243	ABHD11_-0.375474\ANKRD13A_0.295802\ARPC4_0.299507\ATP9B_-0.325225\ATXN2L_0.277654\C1GALT1C1_0.33817\C21orf2_0.398581\C22orf34_0.316647\CH25H_0.271427\CMC1_-0.333416\COQ10A_0.38523\CPPED1_-0.344567\CSTA_0.345742\DNAJC15_-0.372056\ECH1_-0.330659\ERH_0.319455\FMNL2_-0.378459\GATC_-0.387501\GFPT1_0.328457\HLA-DMA_-0.299845\KLK7_-0.303396\LDHD_-0.288653\LRP3_-0.38734\MAP7_-0.344288\MKNK2_0.287169\MRPS12_0.273651\PANX2_-0.31007\PARP2_0.286457\PLEKHG3_-0.400539\POLR2J3_-0.299317\PSMB9_0.346892\PSMD5_0.291406\PTPN12_-0.369354\RNASEH1_0.305152\SAMD8_0.274644\STX8_-0.329402\TFIP11_0.295642\TUBB_-0.41771\UPF3A_-0.301468\VARS2_-0.53245\ZNF30_0.304607\ZSCAN29_0.342106	0.00628969462557371
6:30787762	7e-06	QRS complex (Cornell)	58	HLA-G_VARS2	-0.0552748_-0.046243	ABHD11_-0.375474\ANKRD13A_0.295802\ARPC4_0.299507\ATP9B_-0.325225\ATXN2L_0.277654\C1GALT1C1_0.33817\C21orf2_0.398581\C22orf34_0.316647\CH25H_0.271427\CMC1_-0.333416\COQ10A_0.38523\CPPED1_-0.344567\CSTA_0.345742\DNAJC15_-0.372056\ECH1_-0.330659\ERH_0.319455\FMNL2_-0.378459\GATC_-0.387501\GFPT1_0.328457\HLA-DMA_-0.299845\KLK7_-0.303396\LDHD_-0.288653\LRP3_-0.38734\MAP7_-0.344288\MKNK2_0.287169\MRPS12_0.273651\PANX2_-0.31007\PARP2_0.286457\PLEKHG3_-0.400539\POLR2J3_-0.299317\PSMB9_0.346892\PSMD5_0.291406\PTPN12_-0.369354\RNASEH1_0.305152\SAMD8_0.274644\STX8_-0.329402\TFIP11_0.295642\TUBB_-0.41771\UPF3A_-0.301468\VARS2_-0.53245\ZNF30_0.304607\ZSCAN29_0.342106	0.00629199378401136
6:30409249	4e-22	Blood protein levels	58	HLA-G_VARS2	-0.0552748_-0.046243	ABHD11_-0.375474\ANKRD13A_0.295802\ARPC4_0.299507\ATP9B_-0.325225\ATXN2L_0.277654\C1GALT1C1_0.33817\C21orf2_0.398581\C22orf34_0.316647\CH25H_0.271427\CMC1_-0.333416\COQ10A_0.38523\CPPED1_-0.344567\CSTA_0.345742\DNAJC15_-0.372056\ECH1_-0.330659\ERH_0.319455\FMNL2_-0.378459\GATC_-0.387501\GFPT1_0.328457\HLA-DMA_-0.299845\KLK7_-0.303396\LDHD_-0.288653\LRP3_-0.38734\MAP7_-0.344288\MKNK2_0.287169\MRPS12_0.273651\PANX2_-0.31007\PARP2_0.286457\PLEKHG3_-0.400539\POLR2J3_-0.299317\PSMB9_0.346892\PSMD5_0.291406\PTPN12_-0.369354\RNASEH1_0.305152\SAMD8_0.274644\STX8_-0.329402\TFIP11_0.295642\TUBB_-0.41771\UPF3A_-0.301468\VARS2_-0.53245\ZNF30_0.304607\ZSCAN29_0.342106	0.00662534554726837
6:32411846	2e-07	Ulcerative colitis	288	HLA-DRB5_HLA-DRB5	0.0394349_0.038926	AOAH_0.797659\BEND4_0.69934\C12orf57_0.458339\CACNA2D4_0.605234\CD180_0.424553\CPVL_-0.430277\DCAF16_0.474369\DEF8_0.73086\DNAJA4_0.507837\ERG_0.767832\EXOSC6_-0.5177\FCHO2_-0.761012\HLA-DRA_0.587015\JAZF1_-0.429442\KRTAP10-11_-0.396988\LIMS1_-0.462467\MRPL2_-0.442905\MRPL54_-0.476748\MUM1_0.431868\NME1_-0.463411\PDCD5_0.458637\PLAGL1_0.419845\PLXNC1_-0.402799\RAB27A_-0.418176\RGPD2_0.459595\RNPEP_-0.404459\RPS26_0.684201\RRAS2_-0.562103\SLC4A7_-0.577997\SLITRK4_0.50185\SNORD36C_-0.42505\SRR_0.455327\TMED3_0.454473\WDR41_-0.669109\ZNF671_-0.518151\ZNF776_-0.410272	0.00662957980888873
6:30763291	1e-13	Cutaneous lupus erythematosus	58	HLA-G_VARS2	-0.0552748_-0.046243	ABHD11_-0.375474\ANKRD13A_0.295802\ARPC4_0.299507\ATP9B_-0.325225\ATXN2L_0.277654\C1GALT1C1_0.33817\C21orf2_0.398581\C22orf34_0.316647\CH25H_0.271427\CMC1_-0.333416\COQ10A_0.38523\CPPED1_-0.344567\CSTA_0.345742\DNAJC15_-0.372056\ECH1_-0.330659\ERH_0.319455\FMNL2_-0.378459\GATC_-0.387501\GFPT1_0.328457\HLA-DMA_-0.299845\KLK7_-0.303396\LDHD_-0.288653\LRP3_-0.38734\MAP7_-0.344288\MKNK2_0.287169\MRPS12_0.273651\PANX2_-0.31007\PARP2_0.286457\PLEKHG3_-0.400539\POLR2J3_-0.299317\PSMB9_0.346892\PSMD5_0.291406\PTPN12_-0.369354\RNASEH1_0.305152\SAMD8_0.274644\STX8_-0.329402\TFIP11_0.295642\TUBB_-0.41771\UPF3A_-0.301468\VARS2_-0.53245\ZNF30_0.304607\ZSCAN29_0.342106	0.00836190716295763
6:32612397	5e-133	Ulcerative colitis	288	HLA-DQB1_HLA-DQB1	0.0394349_0.038926	AOAH_0.797659\BEND4_0.69934\C12orf57_0.458339\CACNA2D4_0.605234\CD180_0.424553\CPVL_-0.430277\DCAF16_0.474369\DEF8_0.73086\DNAJA4_0.507837\ERG_0.767832\EXOSC6_-0.5177\FCHO2_-0.761012\HLA-DRA_0.587015\JAZF1_-0.429442\KRTAP10-11_-0.396988\LIMS1_-0.462467\MRPL2_-0.442905\MRPL54_-0.476748\MUM1_0.431868\NME1_-0.463411\PDCD5_0.458637\PLAGL1_0.419845\PLXNC1_-0.402799\RAB27A_-0.418176\RGPD2_0.459595\RNPEP_-0.404459\RPS26_0.684201\RRAS2_-0.562103\SLC4A7_-0.577997\SLITRK4_0.50185\SNORD36C_-0.42505\SRR_0.455327\TMED3_0.454473\WDR41_-0.669109\ZNF671_-0.518151\ZNF776_-0.410272	0.00840095361345045
6:32612397	5e-65	Ulcerative colitis	288	HLA-DQB1_HLA-DQB1	0.0394349_0.038926	AOAH_0.797659\BEND4_0.69934\C12orf57_0.458339\CACNA2D4_0.605234\CD180_0.424553\CPVL_-0.430277\DCAF16_0.474369\DEF8_0.73086\DNAJA4_0.507837\ERG_0.767832\EXOSC6_-0.5177\FCHO2_-0.761012\HLA-DRA_0.587015\JAZF1_-0.429442\KRTAP10-11_-0.396988\LIMS1_-0.462467\MRPL2_-0.442905\MRPL54_-0.476748\MUM1_0.431868\NME1_-0.463411\PDCD5_0.458637\PLAGL1_0.419845\PLXNC1_-0.402799\RAB27A_-0.418176\RGPD2_0.459595\RNPEP_-0.404459\RPS26_0.684201\RRAS2_-0.562103\SLC4A7_-0.577997\SLITRK4_0.50185\SNORD36C_-0.42505\SRR_0.455327\TMED3_0.454473\WDR41_-0.669109\ZNF671_-0.518151\ZNF776_-0.410272	0.00840095361345045
6:32612397	2e-31	Inflammatory bowel disease	288	HLA-DQB1_HLA-DQB1	0.0394349_0.038926	AOAH_0.797659\BEND4_0.69934\C12orf57_0.458339\CACNA2D4_0.605234\CD180_0.424553\CPVL_-0.430277\DCAF16_0.474369\DEF8_0.73086\DNAJA4_0.507837\ERG_0.767832\EXOSC6_-0.5177\FCHO2_-0.761012\HLA-DRA_0.587015\JAZF1_-0.429442\KRTAP10-11_-0.396988\LIMS1_-0.462467\MRPL2_-0.442905\MRPL54_-0.476748\MUM1_0.431868\NME1_-0.463411\PDCD5_0.458637\PLAGL1_0.419845\PLXNC1_-0.402799\RAB27A_-0.418176\RGPD2_0.459595\RNPEP_-0.404459\RPS26_0.684201\RRAS2_-0.562103\SLC4A7_-0.577997\SLITRK4_0.50185\SNORD36C_-0.42505\SRR_0.455327\TMED3_0.454473\WDR41_-0.669109\ZNF671_-0.518151\ZNF776_-0.410272	0.00840095361345045
6:32571961	4e-17	Parkinson's disease	329	HLA-DQB1_HLA-DQB1	0.0946241_0.0115587	AAK1_0.214568\ABCB7_0.196645\ACAA1_0.206095\ATP2C1_-0.209677\ATP6V1E2_0.218944\ATRN_0.22793\B3GAT3_0.213121\CCDC14_-0.249444\CCNY_0.223986\CDCA5_-0.206673\CNOT3_-0.237\DNAL4_-0.201825\FLOT2_0.232028\GALM_-0.2324\GPC6_0.21469\GPR162_0.211289\HERPUD1_0.208668\HIST1H2BC_-0.198596\KCNJ15_0.238515\KNDC1_0.197284\LARP4B_-0.230122\MATK_0.297976\MT1H_0.198135\NLRC5_-0.226103\PGAP3_-0.214963\PRKAR1B_-0.239608\RABIF_-0.212726\RNF19B_-0.230638\SARS2_-0.233478\SMAP1_0.237104\SNAPC4_-0.207874\SOS1_0.196973\ST3GAL2_-0.299479\STX17_0.218873\TACC3_-0.19808\THOP1_-0.204254\TMEM120B_-0.200281\TRIM29_0.232146\TRIM3_0.200427\UBE2J1_-0.225924\VRK3_-0.214192\VTI1B_0.201088\ZNF324_-0.2052\ZNF597_0.294335	0.0107034693672038
6:32577380	1e-108	Rheumatoid arthritis	288	HLA-DQB1_HLA-DQB1	0.0394349_0.038926	AOAH_0.797659\BEND4_0.69934\C12orf57_0.458339\CACNA2D4_0.605234\CD180_0.424553\CPVL_-0.430277\DCAF16_0.474369\DEF8_0.73086\DNAJA4_0.507837\ERG_0.767832\EXOSC6_-0.5177\FCHO2_-0.761012\HLA-DRA_0.587015\JAZF1_-0.429442\KRTAP10-11_-0.396988\LIMS1_-0.462467\MRPL2_-0.442905\MRPL54_-0.476748\MUM1_0.431868\NME1_-0.463411\PDCD5_0.458637\PLAGL1_0.419845\PLXNC1_-0.402799\RAB27A_-0.418176\RGPD2_0.459595\RNPEP_-0.404459\RPS26_0.684201\RRAS2_-0.562103\SLC4A7_-0.577997\SLITRK4_0.50185\SNORD36C_-0.42505\SRR_0.455327\TMED3_0.454473\WDR41_-0.669109\ZNF671_-0.518151\ZNF776_-0.410272	0.0111252320796201
6:32577380	4e-20	IgA nephropathy	288	HLA-DQB1_HLA-DQB1	0.0394349_0.038926	AOAH_0.797659\BEND4_0.69934\C12orf57_0.458339\CACNA2D4_0.605234\CD180_0.424553\CPVL_-0.430277\DCAF16_0.474369\DEF8_0.73086\DNAJA4_0.507837\ERG_0.767832\EXOSC6_-0.5177\FCHO2_-0.761012\HLA-DRA_0.587015\JAZF1_-0.429442\KRTAP10-11_-0.396988\LIMS1_-0.462467\MRPL2_-0.442905\MRPL54_-0.476748\MUM1_0.431868\NME1_-0.463411\PDCD5_0.458637\PLAGL1_0.419845\PLXNC1_-0.402799\RAB27A_-0.418176\RGPD2_0.459595\RNPEP_-0.404459\RPS26_0.684201\RRAS2_-0.562103\SLC4A7_-0.577997\SLITRK4_0.50185\SNORD36C_-0.42505\SRR_0.455327\TMED3_0.454473\WDR41_-0.669109\ZNF671_-0.518151\ZNF776_-0.410272	0.0111252320796201
6:32577380	1e-10	IgA nephropathy	288	HLA-DQB1_HLA-DQB1	0.0394349_0.038926	AOAH_0.797659\BEND4_0.69934\C12orf57_0.458339\CACNA2D4_0.605234\CD180_0.424553\CPVL_-0.430277\DCAF16_0.474369\DEF8_0.73086\DNAJA4_0.507837\ERG_0.767832\EXOSC6_-0.5177\FCHO2_-0.761012\HLA-DRA_0.587015\JAZF1_-0.429442\KRTAP10-11_-0.396988\LIMS1_-0.462467\MRPL2_-0.442905\MRPL54_-0.476748\MUM1_0.431868\NME1_-0.463411\PDCD5_0.458637\PLAGL1_0.419845\PLXNC1_-0.402799\RAB27A_-0.418176\RGPD2_0.459595\RNPEP_-0.404459\RPS26_0.684201\RRAS2_-0.562103\SLC4A7_-0.577997\SLITRK4_0.50185\SNORD36C_-0.42505\SRR_0.455327\TMED3_0.454473\WDR41_-0.669109\ZNF671_-0.518151\ZNF776_-0.410272	0.0111252320796201
6:32282854	1e-299	Rheumatoid arthritis	288	LST1_HLA-DRA	0.0394349_0.038926	AOAH_0.797659\BEND4_0.69934\C12orf57_0.458339\CACNA2D4_0.605234\CD180_0.424553\CPVL_-0.430277\DCAF16_0.474369\DEF8_0.73086\DNAJA4_0.507837\ERG_0.767832\EXOSC6_-0.5177\FCHO2_-0.761012\HLA-DRA_0.587015\JAZF1_-0.429442\KRTAP10-11_-0.396988\LIMS1_-0.462467\MRPL2_-0.442905\MRPL54_-0.476748\MUM1_0.431868\NME1_-0.463411\PDCD5_0.458637\PLAGL1_0.419845\PLXNC1_-0.402799\RAB27A_-0.418176\RGPD2_0.459595\RNPEP_-0.404459\RPS26_0.684201\RRAS2_-0.562103\SLC4A7_-0.577997\SLITRK4_0.50185\SNORD36C_-0.42505\SRR_0.455327\TMED3_0.454473\WDR41_-0.669109\ZNF671_-0.518151\ZNF776_-0.410272	0.0133126701085048
6:29923838	1e-15	IgE levels	482	HLA-G_HLA-G	0.00847409_0.010744	ABCA5_-1.69988\ADI1_1.5781\ARHGAP4_-1.76169\BEND4_-1.8561\C4orf33_-1.51755\CDC42SE1_1.95836\DCAF16_-1.69444\DOCK5_1.56253\DOK3_-2.30947\EEF1G_2.10511\EIF6_-1.55652\GIMAP2_-1.59453\GYPC_-1.54552\HLA-A_1.85051\HLA-F_2.22921\HLA-G_3.33749\HPRT1_-1.65786\HYAL3_1.69304\IL20RA_-1.49342\IMMP2L_-1.60751\ING1_1.60238\KIAA0556_1.64809\KIT_2.04848\KLHL9_-2.22625\LHPP_-1.66339\LSM8_1.52695\MCCC2_1.56527\MFSD6_-1.63456\NDUFC2_1.60526\OGT_-1.66041\PANK4_-1.88083\PRKACB_1.78707\RBP1_-1.51541\SLC22A18AS_1.90291\SLC36A4_-1.59652\STAT6_1.78399\SUSD1_1.85657\TSSC1_1.68805\UGDH_-2.04698\VARS2_1.83645\WDR4_-1.57055\ZFP30_1.54283\ZNF266_-2.30681\ZSCAN18_1.88974	0.0143610116514737
6:30032522	5e-07	AIDS progression	58	HLA-G_VARS2	-0.0552748_-0.046243	ABHD11_-0.375474\ANKRD13A_0.295802\ARPC4_0.299507\ATP9B_-0.325225\ATXN2L_0.277654\C1GALT1C1_0.33817\C21orf2_0.398581\C22orf34_0.316647\CH25H_0.271427\CMC1_-0.333416\COQ10A_0.38523\CPPED1_-0.344567\CSTA_0.345742\DNAJC15_-0.372056\ECH1_-0.330659\ERH_0.319455\FMNL2_-0.378459\GATC_-0.387501\GFPT1_0.328457\HLA-DMA_-0.299845\KLK7_-0.303396\LDHD_-0.288653\LRP3_-0.38734\MAP7_-0.344288\MKNK2_0.287169\MRPS12_0.273651\PANX2_-0.31007\PARP2_0.286457\PLEKHG3_-0.400539\POLR2J3_-0.299317\PSMB9_0.346892\PSMD5_0.291406\PTPN12_-0.369354\RNASEH1_0.305152\SAMD8_0.274644\STX8_-0.329402\TFIP11_0.295642\TUBB_-0.41771\UPF3A_-0.301468\VARS2_-0.53245\ZNF30_0.304607\ZSCAN29_0.342106	0.0155572332247245
